date ,year,gear,lat_end,long_end,basin,species,tag_id,tl_mm,fl_mm,girth_mm,wt_g,acoustic_tag,fin,maxillary,sex,fin_clip_type,drying_number,ground,dry_dup,vemco_tag,est_life,min_delay,max_delay,acc_sampling_rate_hz,power,acc_on_sec,vemco_type,vemco_id,transmitter_serial
13-Sep-17,2017,rr,45.79665,-74.75082,East Basin,lt,1161,490,458,225,,yes,yes,no,,caudal,20,y,x,V13,1130,80,160,,L,,T/P,15750,1276053
15-Sep-17,2017,rr,45.84503,-74.7704,North Basin,lt,1662,482,441,225,,yes,yes,no,,caudal,17,y,x,V13,1130,80,160,,L,,T/P,15752,1276054
15-Sep-17,2017,rr,45.84537,-74.77927,North Basin,lt,1660,500,465,230,,yes,yes,no,F,caudal,13,y,x,V13,1130,80,160,,L,,T/P,15754,1276055
6-Jun-19,2019,rr,,,East Basin,lt,07478,705,660,415,4850,yes,yes,no,,caudal,46,y,x,V13,1130,80,160,,L,,T/P,15754,1276055
13-Sep-17,2017,rr,45.82982,-74.76781,West Basin,lt,1670,500,472,213,,yes,yes,no,,caudal,7,y,x,V13,1130,80,160,,L,,T/P,15756,1276056
14-Sep-17,2017,rr,45.493,-74.4716,West Basin,lt,1669,490,465,220,,yes,yes,no,,caudal,58,y,x,V13,1130,80,160,,L,,T/P,15758,1276057
13-Sep-17,2017,rr,45.8192,-74.78202,West Basin,lt,1658,480,452,224,,yes,yes,no,,caudal,9,y,x,V13,1130,80,160,,L,,T/P,15760,1276058
15-Sep-17,2017,rr,45.84274,-74.7771,North Basin,lt,1664,480,446,200,,yes,yes,no,,caudal,6,y,x,V13,1130,80,160,,L,,T/P,15762,1276059
13-Sep-17,2017,rr,45.4744,-74.4501,East Basin,lt,1163,525,480,230,,yes,yes,no,,caudal,59,y,x,V13,1130,80,160,,L,,T/P,15764,1276060
14-Sep-17,2017,rr,45.81427,-74.79103,North Basin,lt,1157,520,467,224,,yes,yes,no,,caudal,52,y,x,V13,1130,80,160,,L,,T/P,15766,1276061
13-Sep-17,2017,rr,45.4748,-74.4503,East Basin,lt,1162,492,445,232,,yes,yes,no,,caudal,T105,y,x,V13,1130,80,160,,L,,T/P,15768,1276062
13-Sep-17,2017,rr,45.82009,-74.78518,West Basin,lt,1657,509,463,235,,yes,yes,no,,caudal,1,y,x,V13,1130,80,160,,L,,T/P,15770,1276063
13-Sep-17,2017,rr,45.81505,-74.78285,West Basin,lt,1655,441,409,200,,yes,yes,no,,caudal,10,y,x,V13,1584,80,160,,L,,Reg,29343,1276064
14-Sep-17,2017,rr,45.499,-74.4733,West Basin,lt,1659,520,440,280,,yes,yes,no,,caudal,29,y,x,V13,1584,80,160,,L,,Reg,29344,1276065
14-Sep-17,2017,rr,45.79494,-74.74959,East Basin,lt,1156,491,445,225,,yes,yes,no,,caudal,14,y,x,V13,1584,80,160,,L,,Reg,29345,1276066
14-Sep-17,2017,rr,45.7722,-74.73675,East Basin,lt,1153,419,386,199,,yes,yes,no,,caudal,37,y,x,V13,1584,80,160,,L,,Reg,29346,1276067
15-Sep-17,2017,rr,45.84669,-74.77983,North Basin,lt,1661,504,468,234,,yes,yes,no,,caudal,8,y,x,V13,1584,80,160,,L,,Reg,29347,1276068
14-Sep-17,2017,rr,45.4915,-74.473,West Basin,lt,1668,480,445,210,,yes,yes,no,,caudal,44,y,x,V13,1584,80,160,,L,,Reg,29348,1276069
15-Sep-17,2017,rr,45.85703,-74.77241,North Basin,lt,1152,494,457,245,,yes,yes,no,,caudal,25,y,x,V13,1584,80,160,,L,,Reg,29349,1276070
